ID,NumberPhenotypes
2,'0111101110010001010101010101110011011010000100000011110001110',4
2,'0100010110110000101011011110010100111010000011010011001001010',2
2,'1010011101101111011010110100000011001101110001110001111001111',1
2,'1010100100010001000110101011010011110101100001100111111001110',3
2,'1000010110101000101011111100001010111110010001011111110001100',6
2,'0010011110101001000111001010001101111011100000010101111011011',6
2,'0100011100010111000000111111110000011110011001110111100010010',5
2,'1000111101010111000101110010001110110111111011011100010101000',2
2,'1011010110110010111001111110101111001111100111011011001101011',1
2,'1011010010011100011101001010001001100000100011001111010001110',2
2,'1010010110110010111101111110000111001111101111011011000101011',4
2,'1101111011111011110101011110000001010100010010101000010111111',4
2,'1111001111110111011010100010110101010101111100100111011001110',3
2,'1011110100011111000111000010110000110010111110111000111100001',4
2,'1101011100000101011111101111001100101001011000011011000011110',2
2,'1001001101110000100011110111001100010011000111100001100101110',2
2,'1010011101101111011010111100000011100101110111100001111001111',3
2,'0100011010110101110000001110111010111111000100001111100110000',2
2,'1010011101101111011010011100000011100101110111100001111011111',1
2,'1110000100101000000111010100000011010000001000111101101011100',4
2,'0111000111000100010001101111010110110110110101010011010011001',1
2,'0110000101010000000000011111111110011000100001011001111110010',2
2,'0111000111000100010001100111000110010110110101010011010111001',2
2,'0000001111010000000111101111001111111001001101011100101010111',2
2,'1110100111010100011101100100111111011111011110000011011100100',2
2,'1011110100010001000110101011010011010101110000100111111101110',1
2,'0100110110110010101011011110010100011010000011010011001001010',2
2,'1010011111001111011010110100000011100101110111100000101001111',2
2,'1101001111110000011000000010001100010010011000011100010001001',1
2,'0101000011001111011110010100000111011101101010101101100010001',2
2,'1010011101101111011010110100000011101101110111100001111001111',1
2,'1111100100101111111001011111110000011111001000100101101000101',1
2,'1111100100101111111001011111100000010011001000100101101100101',1

3,'0111000111000100010001101111000110110110110101010011010011001',5
3,'1110000100101000000111010100000011010000001000111101101011100',3
3,'1100001111110000011000000010001100010000011000011100010001001',3
3,'1000010111101000101011111100001010111110010001011111110001100',1
3,'0010011110101001000111001010001101111011100000010101111011011',8
3,'0110000101010000000000111111111110011000100001011001011100010',1
3,'0111101110010001010101010101110011011010000100000011110001110',8
3,'0100010110110000101011011110010100111010000011010011001001010',4
3,'1010100100010001000110101011010011110101100001100111111001110',2
3,'1011110100011111000111000010110000110010111110111000111100001',2
3,'0100011100010111000000111111110000011110011001110111100010010',5
3,'1000111101010111000101110010001110110111111011011100010101000',2
3,'0010011110101101000111001010101101111011110000010111101011011',1
3,'1011010110110010111001111110101111001111100111011011001101011',2
3,'1000010110101000101011111100001010111110010001011111110001100',3
3,'1010010110110010111101111110000111001111101111011011000101011',7
3,'1111001111110111011010100010110101010101111100100111011001110',4
3,'1100001111110000011000100010001100010100011000011100010001001',1
3,'0101000110101000110001100100011100100101010111001011111101100',1
3,'0000001111010000000111101111001111111001001101011100101010111',2
3,'0101000100101000110000100100011100100101010111001111111101100',1
3,'1010011101101111011010011100000011100101110111100001111011111',2
3,'0111000111000100010001100111000110010110110101010011010111001',4
3,'1001001101110000100011110111001100010011000111100001100101110',1
3,'0000010100110111000000011111110000111110011001110111100010010',1
3,'1101011100000101011111101111001100101001011000011011000011110',2
3,'1010010110010010101111011110000111001111101111011011001101011',1
3,'0010001110101001000111001010001100111011100000000101110011011',1
3,'0110000101010000000000011111111110011000100001011001111110010',1
3,'1111000111000100010001101111100110110111110101010001010011001',1
3,'1101100010010001111001001000110101011010101110101001011010101',2
3,'1110100111110000011001100100111101011111011111000011011101100',1
3,'1010011111001111011010110100000011100101110111100000101001111',2
3,'1110100111010100011101100100111111011111011110000011011100100',3
3,'1011110100010001000110101011010011010101110000100111111101110',2
3,'1110010000100000000111010100000011010000001000111101101011100',1
3,'0100110110110010101011011110010100011010000011010011001001010',2
3,'1101001111110000011000000010001100010010011000011100010001001',1
3,'1101001111110000011000000010011110010110011000011100010001001',1
3,'1101111011111011110101011110000001010100010010101000010111111',4
3,'1001001101110100100011110111000100011111000111100001100101110',1

4,'0010011110101001000111001010001101111011100000010101111011011',3
4,'1110000100101000000111010100000011010000001000111101101011100',2
4,'0111101110010001010101010101110011011010000100000011110001110',10
4,'0111000111000100010001101111000110110110110101010011010011001',4
4,'0010011110101001000111001010001101110011100000010101111111011',1
4,'1010010110110010111101111110000111001111101111011011000101011',8
4,'0100010110110000101011011110010100111010000011010011001001010',5
4,'1010100100010001000110101011010011110101100001100111111001110',3
4,'1011110100011111000111000010110000110010111110111000111100001',2
4,'0000001111010000000111101111001111111101001101011100101010011',1
4,'0100011100010111000000111111110000011110011001110111100010010',7
4,'0100110110110010101011011110010100011010000011010011001001010',4
4,'0010011110101101000111001010101101111011110000010111101011011',2
4,'1011010110110010111001111110101111001111100111011011001101011',2
4,'1000010110101000101011111100001010111110010001011111110001100',4
4,'1000111101010111000101110010001110110111111011011100010101000',1
4,'1111001111110111011010100010110101010101111100100111011001110',3
4,'1100001111110000011000100010001100010100011000011100010001001',2
4,'1100001111110000011000000010001100010000011000011100010001001',2
4,'0101000110101000110001100100011100100101010111001011111101100',2
4,'1010011111001011011010110100000011100110110111100000101001111',1
4,'1010011101101111011010011100000011100101110111100001111011111',2
4,'0111000111000100010001100111000110010110110101010011010111001',3
4,'1111001111110111001010100010010101010101111100100111011001110',1
4,'0100010110110000101011010110010100110010000011010011001001010',1
4,'0111000101000100010000101111000110110010110100011011010011101',1
4,'0010001110101001000111001010001100111011100000000101110011011',2
4,'1110100111010100011101100100111111011111011110000011011100100',6
4,'1000111101010111000101110010001110110111111011011000010101000',1
4,'1110100111110000011001100100111101011111011111000011011101100',2
4,'0000001111010000000111101111001111111001001101011100101010111',1
4,'1011110100010001000110101011010011010101110000100111111101110',3
4,'1101011100000101011111101111001100101001011000011011000011110',2
4,'0100011100010111000000111111110010011110011001110110100010010',1
4,'1010100100010011000110101011010011110101100001100111111101110',1
4,'1011110100010001000110101001010011010101110000100111111101110',1
4,'0111000111000100010001100111000110010110110101000011010111001',1
4,'0110000111000100010001101111000110110110110101010011010011001',1
4,'1010011111001111011010110100000011100101110111100000101001111',1

5,'0100110110110010101011011110010100011010000011010011001001010',4
5,'0111000111000100010001100111000110010110110101010011010111001',3
5,'0100010110110000101011010110010100110010000011010011001001010',2
5,'0111000111000100010001101111000110110110110101010011010011001',5
5,'1000111101010111000101110010001110110111111011011100010101000',2
5,'0100011100010111000000111111110000011110011001110111100010010',6
5,'1010010110110010111101111110000111001111101111011011000101011',12
5,'0111101110010001010101010101110011011010000100000011110001110',7
5,'0110000111000100010001101111000110110110110101010011010011001',2
5,'0100010110110000101011011110010100111010000011010011001001010',4
5,'1010100100010001000110101011010011110101100001100111111001110',4
5,'0010011110101101000111001010101101111011110000010111101011011',2
5,'1010110110110010111101111110000111001110101111011011000101011',1
5,'1110100111010100011101100100111111011111011110000011011100100',9
5,'1110100111110100111101100100111111011111011100000011011100100',1
5,'0000001111010000000111101111001111111001001101011100101010111',2
5,'1000010110101000101011111100001010111110010001011111110001100',2
5,'1111001111110111011010100010110101010101111100100111011001110',3
5,'0110111110110001010101010101110011011100001100000011110001110',1
5,'1100001111110000011000000010001100010000011000011100010001001',4
5,'1011010110110010111001111110101111001111100111011011001101011',2
5,'1101011100000101011111101111001100101001011000011011000011110',4
5,'1010010110110010111101111110000111001111101110011011000101011',1
5,'1111001111110111001010100010010101010101111100100111011001110',1
5,'1110000100101000000111010100000011010000001000111101101011100',2
5,'0111000101000100010000101111000110110010110100011011010011101',2
5,'1111001111110011001110100010010101111101111100100111011001110',1
5,'1011110100010001000110101011010011010101110000100111111101110',3
5,'0111001101110111011010100000110101010101111100100111011001110',1
5,'1111000111000100110001100111000110010110110101010011010010000',1
5,'0010001110101001000111001010001100111011100000000101110011011',2
