ID,NumberPhenotypes
1,'1010010100111111000010000111110001111111000100011011111110110100100',1

2,'1110101100111000101101000000001011010001000000111011011010000110001',2
2,'0100101101101100101011011010110000100011101101011001111010111100100',1
2,'1000010110011001000001001000011000101000011111010100110011011001111',2
2,'1010111101010000111011111110100110010111111111011000100110111100001',6
2,'1000011100011110111010011001110011011011101011100010100001010010110',2
2,'1110000110011100000000111110011001111101010000101111110101100001010',5
2,'1001010111100110001110101011001100100101010010000000110110111101111',6
2,'0001010110100110001110101011001100101101010010000000110010111101101',1
2,'1100011111011011110110110100110110101011110010101000110110100110010',2
2,'1110000110011100010000111110011001111101010010101111110101100001010',1
2,'1001111101110001010111010010100101110100111010000111111110011011001',4
2,'0111001111000011000101011010101001111110000011101011110101111011001',4
2,'1011111101110010011111111001001111111111101111110110000000100011001',3
2,'1010011101110110111100010000000111011010101010010000011110000001111',8
2,'0000000101000101010010010101001101101110100010111011011001111101100',2
2,'1110010111100001010001001010110100110101101001101110101100100110100',2
2,'1010010100111110000010001111110001101111000100011011111110110100000',4
2,'1001001110011000011101010110011011011011110111010000001010111100010',2
2,'1001011011100101011100010000000100101001000011000010011111110111011',2
2,'1011011111011000001000010111111010000100111000100010101100001110000',3
2,'0001011100010110111000001101011111000010100110101101000000110101100',2
2,'1000100010110001110001000111000011010101000010100011000111101010101',4
2,'1011011101011100001000010111111010000100111000100010111100001110000',1
2,'0100100110001011111011001001010111011101101101010110100111111111000',2
2,'0110101111110110110101000100111100001000010100101110110010001011100',3
2,'0111001111000011000101010010101001111110000001101011110101111011001',2
2,'0100000101000101010010010111001101101110100010111011011001111101100',3
2,'0101011101100100000011000000111110101111111011111100000110110010110',4
2,'1000100111100001100101010001001000100110000001000110001111000101001',2
2,'1110001101110101111110101110010001110001111010111111001111011011011',2
2,'1010010100111111000010000111110001111111000100011011111110110100100',2
2,'1101001111010101000111100110111110011110111010100101011110100110110',2
2,'1001110111100110001110101011001100100101010010000000100110011001111',1
2,'0100101101101100101011011010110000100011101101011001111011111100100',1
2,'1011111101110010011111111001101111111111101110110110000001100011001',1
2,'1000011100000001110001011101011101101001001001001010000110110010110',2
2,'0110101011110110110101010100111100001100010100101110110010001011100',1
2,'0000100110011010111011001001010111011101101101010010100111111111000',2
2,'0100100101000101010010010011001101101110100000010011011001111101100',1

3,'1010011101110110111100010000000111011010101010010000011110000001111',12
3,'1010111101010000111011111110100110010111111111011000100110111100001',6
3,'1000010110011001000001001000011000101000011111010100110011011001111',4
3,'1001111101110001010111010010100101110100111010000111111110011011001',4
3,'0111001111000011000101011010101001111110000011101011110101111011001',5
3,'1110000110011100000000111110011001111101010000101111110101100001010',5
3,'0100100110001011111011001001010111011101101101010110100111111111000',2
3,'1100011111011011110110110100110110101011110010101000110110100110010',4
3,'1110000110011100010000111110011001111101010010101111110101100001010',2
3,'1001010111100110001110101011001100100101010010000000110110111101111',4
3,'1000100111100001100101010001001000100110000011010110001101000101001',1
3,'1010010100111111000010000111110001111111000100011011111110110100100',4
3,'1011111101110010011111111001001111111111101111110110000000100011001',4
3,'0000000101000101010010010101001101101110100010111011011001111101100',2
