Variable
subject15 : 0.014156733976771163
subject14 : 1.8389475605752465E-4
subject13 : 0.7398324673138982
subject10 : 9.816266443223924E-5
subject9 : 0.014156733976771163
subject8 : 0.2988336110085165
subject7 : 0.002224183506576905
subject6 : 5.2302809643344835E-5
subject5 : 0.7398324673138982
subject3 : 0.12024262105494775
subject2 : 4.6991269535709955E-4
subject1 : 0.12024262105494775
ECE : 0.001631285251223291
App_Achievement : 1.0750984492657565E-5
App_Communication : 2.7816385722440492E-5
